3|57|1|638|419576
3|48|1|638|419618
3|50|1|638|419622
3|53|1022|638|419637
3|54|660|638|419640
3|24|1024|638|419648
1|330|1|638|419666
0|2|0|638|419670
0|0|0|638|419684
3|57|1|638|433855
3|48|1|638|433886
3|50|1|638|433887
3|53|1023|638|433892
3|54|660|638|433901
0|2|0|638|433920
0|0|0|638|433934
3|57|1|638|452577
3|48|1|638|452594
3|50|1|638|452596
3|53|1023|638|452608
3|54|655|638|452612
0|2|0|638|452629
0|0|0|638|452640
3|57|1|638|459763
3|48|0|638|459779
3|50|0|638|459781
3|53|1023|638|459785
3|54|655|638|459788
3|24|0|638|459792
1|330|0|638|459798
0|2|0|638|459801
0|0|0|638|459828
3|57|1|640|122221
3|48|1|640|122223
3|50|1|640|122223
3|53|1040|640|122225
3|54|745|640|122226
3|24|1024|640|122227
1|330|1|640|122229
0|2|0|640|122230
0|0|0|640|122231
3|57|1|640|166108
3|48|1|640|166109
3|50|1|640|166110
3|53|1041|640|166111
3|54|745|640|166112
0|2|0|640|166116
0|0|0|640|166117
3|57|1|640|183946
3|48|1|640|183948
3|50|1|640|183949
3|53|1042|640|183952
3|54|745|640|183955
0|2|0|640|183962
0|0|0|640|183964
3|57|1|640|307391
3|48|1|640|307394
3|50|1|640|307395
3|53|1042|640|307398
3|54|744|640|307401
0|2|0|640|307409
0|0|0|640|307411
3|57|1|640|333861
3|48|1|640|333863
3|50|1|640|333864
3|53|1042|640|333867
3|54|743|640|333870
0|2|0|640|333877
0|0|0|640|333879
3|57|1|640|351494
3|48|1|640|351495
3|50|1|640|351497
3|53|1042|640|351499
3|54|742|640|351502
0|2|0|640|351509
0|0|0|640|351511
3|57|1|640|369079
3|48|1|640|369081
3|50|1|640|369082
3|53|1042|640|369086
3|54|741|640|369089
0|2|0|640|369095
0|0|0|640|369097
3|57|1|640|377937
3|48|1|640|377939
3|50|1|640|377941
3|53|1043|640|377944
3|54|741|640|377946
0|2|0|640|377953
0|0|0|640|377955
3|57|1|640|386750
3|48|1|640|386752
3|50|1|640|386753
3|53|1043|640|386756
3|54|739|640|386759
0|2|0|640|386765
